"requirement_id","parent_requirement_id","exact_constitution_part","exact_constitution_section","verified_exact_line_range","source_wording","source_digest_sha256","source_summary","source_modality","requirement_type","delivery_target","classification","responsible_layer","dependencies","atomic_acceptance_criteria","related_phase_0_document","evidence_requirement","owner_approval_state","implementation_status"
"REQ-001.01","REQ-001","Part 1","AI Master Instruction and Primary Objective","L9–L63","AI MASTER INSTRUCTION / You are NOT a coding assistant. / You are an elite team of professionals working together as one AI. / You must simultaneously think and work as: / CEO / CTO / Product Owner / Business Consultant / Product Strategist / Startup Advisor / SaaS Architect / Senior Software Architect / Senior PHP/Laravel Engineer (or recommend a better stack if justified) / Database Architect / Cloud Infrastructure Engineer / DevOps Engineer / Security Engineer / QA Engineer / Performance Engineer / UI Designer / UX Researcher / SEO Expert / Digital Marketing Strategist / Content Marketing Expert / Technical Writer / Documentation Specialist / System Analyst / Do not immediately begin writing code.","acbb9be43379dec58271b890773036fbfc7550c7a7d58d2cbdee920f4e5d0102","The delivery agent operates as a multidisciplinary product, engineering, security, operations, design, marketing, QA, and documentation organization rather than immediately acting as a coding assistant.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “The delivery agent operates as a multidisciplinary product, engineering, security, operations, design, marketing, QA, and documentation organization rather than immediately acting as a coding assistant.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-001.02","REQ-001","Part 1","AI Master Instruction and Primary Objective","L63–L65","Do not immediately begin writing code. / Your responsibility is to build a complete business and software ecosystem exactly like a professional software company.","86af1b83e425cfdbdec98290084edbc84116228fc7287e94136e2b794a84549a","The work produces a complete business and software ecosystem before implementation begins.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “The work produces a complete business and software ecosystem before implementation begins.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-001.03","REQ-001","Part 1","AI Master Instruction and Primary Objective","L69–L75","YOUR PRIMARY OBJECTIVE / Design and build EarnPearls, a modern, scalable, secure, trustworthy, and highly optimized Rewards Platform. / EarnPearls is NOT merely a survey website. / It is a long-term Rewards Platform that initially launches with surveys and a limited number of partner offers. The architecture must support future expansion without requiring major rewrites.","e3d9f2ca5067dae830d02cb5413b65202823410ebb6211ddab774feff8fb2253","EarnPearls is designed as a modern, scalable, secure, trustworthy, and highly optimized rewards platform.","MUST","Non-functional","V1","CD","Shared","None stated by the Constitution","A defined measurement or design review confirms this statement: “EarnPearls is designed as a modern, scalable, secure, trustworthy, and highly optimized rewards platform.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Defined metric/standard plus measured result or documented review.","Pending independent review","Not started"
"REQ-001.04","REQ-001","Part 1","AI Master Instruction and Primary Objective","L73–L75","EarnPearls is NOT merely a survey website. / It is a long-term Rewards Platform that initially launches with surveys and a limited number of partner offers. The architecture must support future expansion without requiring major rewrites.","f38e585739cde219c3957abdaf6b3bb41f7527c1ce03d598f18c7a9e36580b22","The architecture supports future product expansion without requiring major rewrites.","MUST","Non-functional","V1","CD","Architecture","None stated by the Constitution","A defined measurement or design review confirms this statement: “The architecture supports future product expansion without requiring major rewrites.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Defined metric/standard plus measured result or documented review.","Pending independent review","Not started"
"REQ-001.05","REQ-001","Part 1","AI Master Instruction and Primary Objective","L77–L103; L123","Future features may include: / Survey Providers / Offerwalls / Partner Sign-up Offers / Referral System / Leaderboards / Daily Rewards / Reward Games / Cashback / Gift Cards / Promotional Campaigns / Loyalty Programs / Mobile Applications / AI Automation || Everything else should be designed for future expansion.","5fdc94f3a913324d17cbeaf717054e6fa91e3c4671635ad1c8464de9b06a9f8f","The architecture records the listed future capability families as potential expansion domains without treating them as activated V1 features.","MAY","Documentation","Future","FRR","Architecture","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The architecture records the listed future capability families as potential expansion domains without treating them as activated V1 features.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-001.06","REQ-001","Part 1","AI Master Instruction and Primary Objective","L109; L111","The initial launch should prioritize: || Surveys","905b5a0a49ac4ebdf19b8b9b579f2b3b8dc9389a5420c6b91a5721c18e944d92","Version 1 prioritizes surveys.","SHOULD","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Version 1 prioritizes surveys.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-001.07","REQ-001","Part 1","AI Master Instruction and Primary Objective","L109; L113","The initial launch should prioritize: || Wallet","ddef96b33d1680a1164c8080033ab73fa3841ca7eed6c0e9aa7f46a14dd8c8f4","Version 1 prioritizes the wallet.","SHOULD","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Version 1 prioritizes the wallet.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-001.08","REQ-001","Part 1","AI Master Instruction and Primary Objective","L109; L115","The initial launch should prioritize: || Rewards","30754de8f48edcf8fa4e4a4b187ef6c9811660e51a9ea9388efec5ac4313d111","Version 1 prioritizes rewards.","SHOULD","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Version 1 prioritizes rewards.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-001.09","REQ-001","Part 1","AI Master Instruction and Primary Objective","L109; L117","The initial launch should prioritize: || User Experience","8f57842c5ea4baa65a309771d91e3fe300ac7b673350d3d19bd1f26da2e873d0","Version 1 prioritizes user experience.","SHOULD","Functional","V1","CBR","Shared","None stated by the Constitution","An acceptance test confirms this statement: “Version 1 prioritizes user experience.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-001.10","REQ-001","Part 1","AI Master Instruction and Primary Objective","L109; L119","The initial launch should prioritize: || Trust","ea411aeb256dfe14184d2b8649d19ed6666516bcd2f295c9ea05ac394dfd1edb","Version 1 prioritizes user trust.","SHOULD","Non-functional","V1","REC","Shared","None stated by the Constitution","A defined measurement or design review confirms this statement: “Version 1 prioritizes user trust.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Defined metric/standard plus measured result or documented review.","Pending independent review","Not started"
"REQ-001.11","REQ-001","Part 1","AI Master Instruction and Primary Objective","L109; L121","The initial launch should prioritize: || Scalability","8d60eee7ec75449585d478339d2499c0fcf2c53b63f89e8032f358e4a239f0f1","Version 1 prioritizes scalability.","SHOULD","Non-functional","V1","REC","Architecture","None stated by the Constitution","A defined measurement or design review confirms this statement: “Version 1 prioritizes scalability.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Defined metric/standard plus measured result or documented review.","Pending independent review","Not started"
"REQ-002.01","REQ-002","Part 1","Controlled Blueprint Workflow","L127–L131; L301","IMPORTANT WORKFLOW / Never begin development immediately. / Follow this exact sequence. || Only after all blueprints are finalized may implementation begin.","cd8230e163f6fbd9fae619f047575c41b77e0d6b5baa448b57944481aa0fea9c","Development does not begin until the prescribed analysis and blueprint sequence is completed.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Development does not begin until the prescribed analysis and blueprint sequence is completed.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.02","REQ-002","Part 1","Controlled Blueprint Workflow","L131; L135","Follow this exact sequence. || Understand the complete business.","de0a7afa6be6b95f5e4e636bf65bbd470e6434cfae33a78ac2efa52eedf8cf43","Phase 1 documents a complete understanding of the business.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 1 documents a complete understanding of the business.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.03","REQ-002","Part 1","Controlled Blueprint Workflow","L131; L137","Follow this exact sequence. || Study every requirement.","989c27494872362cdd9ece43dfb2c9a625584d19eae08d65ce5c306baea4d997","Phase 1 studies every requirement.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 1 studies every requirement.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-002.04","REQ-002","Part 1","Controlled Blueprint Workflow","L131; L139","Follow this exact sequence. || Identify weaknesses.","03695c3d34c4601a270affeade9cd32475ad552ad7e0914d7eb847e5f09ffea5","Phase 1 identifies weaknesses.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Phase 1 identifies weaknesses.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
