"exact_constitution_part","heading_line","exact_heading","coverage_status","structural_parent_id","disposition"
"Part 1","L3","PROJECT TITLE","Reviewed — no separate formal REQ","None","Duplicate project-name/tagline declaration; the same identity constraints are formalized under PROJECT NAME and BRAND IDENTITY."
"Part 1","L9","AI MASTER INSTRUCTION","Formal REQ children extracted","REQ-001",""
"Part 1","L69","YOUR PRIMARY OBJECTIVE","Formal REQ children extracted","REQ-002",""
"Part 1","L127","IMPORTANT WORKFLOW","Formal REQ children extracted","REQ-003",""
"Part 1","L133","Phase 1","Formal REQ children extracted","REQ-004",""
"Part 1","L149","Phase 2","Formal REQ children extracted","REQ-005",""
"Part 1","L193","Phase 3","Formal REQ children extracted","REQ-006",""
"Part 1","L207","Phase 4","Formal REQ children extracted","REQ-007",""
"Part 1","L237","Phase 5","Formal REQ children extracted","REQ-008",""
"Part 1","L249","Phase 6","Formal REQ children extracted","REQ-009",""
"Part 1","L289","Phase 7","Formal REQ children extracted","REQ-010",""
"Part 1","L305","BUSINESS SUMMARY","Formal REQ children extracted","REQ-011",""
"Part 1","L337","TARGET COUNTRIES","Formal REQ children extracted","REQ-012",""
"Part 1","L373","PLATFORM LANGUAGE","Formal REQ children extracted","REQ-013",""
"Part 1","L401","CURRENCY SYSTEM","Formal REQ children extracted","REQ-014",""
"Part 1","L431","USER REGISTRATION","Formal REQ children extracted","REQ-015",""
"Part 1","L457","USER ACCOUNT STATUS","Formal REQ children extracted","REQ-016",""
"Part 2","L481","PRODUCT PHILOSOPHY","Formal REQ children extracted","REQ-017",""
"Part 2","L497","PRODUCT DESIGN PRINCIPLES","Formal REQ children extracted","REQ-018",""
"Part 2","L531","HOMEPAGE","Formal REQ children extracted","REQ-019",""
"Part 2","L567","USER DASHBOARD","Formal REQ children extracted","REQ-020",""
"Part 2","L611","WALLET SYSTEM","Formal REQ children extracted","REQ-021",""
"Part 2","L665","BALANCE MATURITY SYSTEM","Formal REQ children extracted","REQ-022",""
"Part 2","L717","LEADERBOARD SYSTEM","Formal REQ children extracted","REQ-023",""
"Part 2","L751","SURVEY EXPERIENCE","Formal REQ children extracted","REQ-024",""
"Part 2","L785","REWARD POINT SYSTEM","Formal REQ children extracted","REQ-025",""
"Part 2","L811","WITHDRAWAL SYSTEM","Formal REQ children extracted","REQ-026",""
"Part 2","L843","NOTIFICATION CENTER","Formal REQ children extracted","REQ-027",""
"Part 2","L879","SUPPORT CENTER","Formal REQ children extracted","REQ-028",""
"Part 2","L907","BLOG SYSTEM","Formal REQ children extracted","REQ-029",""
"Part 2","L961","SEO REQUIREMENTS","Formal REQ children extracted","REQ-030",""
"Part 2","L995","PERFORMANCE TARGETS","Formal REQ children extracted","REQ-031",""
"Part 3","L1059","SUPER ADMIN ERP","Formal REQ children extracted","REQ-032",""
"Part 3","L1071","ADMIN DASHBOARD","Formal REQ children extracted","REQ-033",""
"Part 3","L1133","USER MANAGEMENT","Formal REQ children extracted","REQ-034",""
"Part 3","L1181","ACCOUNT MODERATION","Formal REQ children extracted","REQ-035",""
"Part 3","L1201","LIMIT TEMPLATE SYSTEM","Formal REQ children extracted","REQ-036",""
"Part 3","L1259","ROLE MANAGEMENT","Formal REQ children extracted","REQ-037",""
"Part 3","L1285","SYSTEM SETTINGS","Formal REQ children extracted","REQ-038",""
"Part 3","L1319","CONTENT MANAGEMENT SYSTEM (CMS)","Formal REQ children extracted","REQ-039",""
"Part 3","L1351","PROVIDER INTEGRATION FRAMEWORK","Formal REQ children extracted","REQ-040",""
"Part 3","L1367","API MANAGEMENT","Formal REQ children extracted","REQ-041",""
"Part 3","L1387","EMAIL SYSTEM","Formal REQ children extracted","REQ-042",""
"Part 3","L1407","AUDIT LOGGING","Formal REQ children extracted","REQ-043",""
"Part 3","L1447","SECURITY","Formal REQ children extracted","REQ-044",""
"Part 3","L1489","DATABASE ARCHITECTURE","Formal REQ children extracted","REQ-045",""
"Part 3","L1515","BACKEND ARCHITECTURE","Formal REQ children extracted","REQ-046",""
"Part 3","L1541","FRONTEND ARCHITECTURE","Formal REQ children extracted","REQ-047",""
"Part 3","L1561","PROJECT DOCUMENTATION","Formal REQ children extracted","REQ-048",""
"Part 3","L1595","INTERACTIVE DEVELOPMENT ROADMAP","Formal REQ children extracted","REQ-049",""
"Part 3","L1617","QUALITY STANDARD","Formal REQ children extracted","REQ-050",""
"Part 4","L1645","CORE PHILOSOPHY","Formal REQ children extracted","REQ-051",""
"Part 4","L1673","ENGINEERING PRINCIPLES","Formal REQ children extracted","REQ-052",""
"Part 4","L1701","PROJECT STRUCTURE","Formal REQ children extracted","REQ-053",""
"Part 4","L1745","DEVELOPMENT STANDARDS","Formal REQ children extracted","REQ-054",""
"Part 4","L1767","USER EXPERIENCE STANDARDS","Formal REQ children extracted","REQ-055",""
"Part 4","L1787","PERFORMANCE GOALS","Formal REQ children extracted","REQ-056",""
"Part 4","L1807","ACCESSIBILITY","Formal REQ children extracted","REQ-057",""
"Part 4","L1827","CONFIGURATION PHILOSOPHY","Formal REQ children extracted","REQ-058",""
"Part 4","L1855","ANALYTICS","Formal REQ children extracted","REQ-059",""
"Part 4","L1887","ERROR HANDLING","Formal REQ children extracted","REQ-060",""
"Part 4","L1905","BACKGROUND PROCESSING","Formal REQ children extracted","REQ-061",""
"Part 4","L1927","RELEASE MANAGEMENT","Formal REQ children extracted","REQ-062",""
"Part 4","L1955","BACKUP & RECOVERY","Formal REQ children extracted","REQ-063",""
"Part 4","L1975","CONTINUOUS IMPROVEMENT","Formal REQ children extracted","REQ-064",""
"Part 4","L1995","FINAL DIRECTIVE TO THE AI","Formal REQ children extracted","REQ-065",""
"Part 5","L2037","DATABASE PHILOSOPHY","Formal REQ children extracted","REQ-066",""
"Part 5","L2053","DATABASE OBJECTIVES","Formal REQ children extracted","REQ-067",""
"Part 5","L2079","DATABASE DESIGN PRINCIPLES","Formal REQ children extracted","REQ-068",""
"Part 5","L2097","DATABASE DOCUMENTATION","Formal REQ children extracted","REQ-069",""
"Part 5","L2123","CORE BUSINESS DOMAINS","Formal REQ children extracted","REQ-070",""
"Part 5","L2147","User Profiles","Formal REQ children extracted","REQ-071",""
"Part 5","L2167","Wallet Domain","Formal REQ children extracted","REQ-072",""
"Part 5","L2191","Survey Domain","Formal REQ children extracted","REQ-073",""
"Part 5","L2213","Withdrawal Domain","Formal REQ children extracted","REQ-074",""
"Part 5","L2239","Notification Domain","Formal REQ children extracted","REQ-075",""
"Part 5","L2257","Support Domain","Formal REQ children extracted","REQ-076",""
"Part 5","L2279","CMS Domain","Formal REQ children extracted","REQ-077",""
"Part 5","L2299","Leaderboard Domain","Formal REQ children extracted","REQ-078",""
"Part 5","L2313","Audit Domain","Formal REQ children extracted","REQ-079",""
"Part 5","L2329","Analytics Domain","Formal REQ children extracted","REQ-080",""
"Part 5","L2337","DATA RETENTION","Formal REQ children extracted","REQ-081",""
"Part 5","L2357","MIGRATIONS","Formal REQ children extracted","REQ-082",""
"Part 5","L2371","SEED DATA","Formal REQ children extracted","REQ-083",""
"Part 5","L2391","INDEXING STRATEGY","Formal REQ children extracted","REQ-084",""
"Part 5","L2413","SCALABILITY","Formal REQ children extracted","REQ-085",""
"Part 5","L2431","DATA SECURITY","Formal REQ children extracted","REQ-086",""
"Part 5","L2451","REPORTING","Formal REQ children extracted","REQ-087",""
"Part 5","L2471","FINAL DATABASE DELIVERABLES","Formal REQ children extracted","REQ-088",""
"Part 5","L2499","This approach gives the AI enough flexibility to produce a high-quality, production-ready database while remaining aligned with your business requirements.","Reviewed — no separate formal REQ","None","Narrative transition and quality rationale, not an independently implementable clause."
"Part 6","L2511","API PHILOSOPHY","Formal REQ children extracted","REQ-089",""
"Part 6","L2537","API OBJECTIVES","Formal REQ children extracted","REQ-090",""
"Part 6","L2559","API DESIGN PRINCIPLES","Formal REQ children extracted","REQ-091",""
"Part 6","L2589","API VERSIONING","Formal REQ children extracted","REQ-092",""
"Part 6","L2597","AUTHENTICATION APIs","Formal REQ children extracted","REQ-093",""
"Part 6","L2621","USER APIs","Formal REQ children extracted","REQ-094",""
"Part 6","L2639","WALLET APIs","Formal REQ children extracted","REQ-095",""
"Part 6","L2659","SURVEY APIs","Formal REQ children extracted","REQ-096",""
"Part 6","L2681","WITHDRAWAL APIs","Formal REQ children extracted","REQ-097",""
"Part 6","L2699","LEADERBOARD APIs","Formal REQ children extracted","REQ-098",""
"Part 6","L2715","NOTIFICATION APIs","Formal REQ children extracted","REQ-099",""
"Part 6","L2733","SUPPORT APIs","Formal REQ children extracted","REQ-100",""
"Part 6","L2751","CMS APIs","Formal REQ children extracted","REQ-101",""
"Part 6","L2769","ADMIN APIs","Formal REQ children extracted","REQ-102",""
"Part 6","L2795","PROVIDER INTEGRATION LAYER","Formal REQ children extracted","REQ-103",""
"Part 6","L2807","WEBHOOK ARCHITECTURE","Formal REQ children extracted","REQ-104",""
"Part 6","L2829","BACKGROUND PROCESSING","Formal REQ children extracted","REQ-105",""
"Part 6","L2849","ERROR HANDLING","Formal REQ children extracted","REQ-106",""
"Part 6","L2867","API SECURITY","Formal REQ children extracted","REQ-107",""
"Part 6","L2893","API DOCUMENTATION","Formal REQ children extracted","REQ-108",""
"Part 6","L2917","TESTING STRATEGY","Formal REQ children extracted","REQ-109",""
"Part 6","L2935","OBSERVABILITY","Formal REQ children extracted","REQ-110",""
"Part 6","L2957","FINAL API DELIVERABLES","Formal REQ children extracted","REQ-111",""
"Part 7","L2997","DESIGN PHILOSOPHY","Formal REQ children extracted","REQ-112",""
"Part 7","L3023","DESIGN LANGUAGE","Formal REQ children extracted","REQ-113",""
"Part 7","L3061","DESIGN PRINCIPLES","Formal REQ children extracted","REQ-114",""
"Part 7","L3085","BRAND IDENTITY","Formal REQ children extracted","REQ-115",""
"Part 7","L3111","COLOR SYSTEM","Formal REQ children extracted","REQ-116",""
"Part 7","L3149","TYPOGRAPHY","Formal REQ children extracted","REQ-117",""
"Part 7","L3167","GRID SYSTEM","Formal REQ children extracted","REQ-118",""
"Part 7","L3187","ICONOGRAPHY","Formal REQ children extracted","REQ-119",""
"Part 7","L3203","BUTTON SYSTEM","Formal REQ children extracted","REQ-120",""
"Part 7","L3237","FORM SYSTEM","Formal REQ children extracted","REQ-121",""
"Part 7","L3257","CARD SYSTEM","Formal REQ children extracted","REQ-122",""
"Part 7","L3289","DASHBOARD UX","Formal REQ children extracted","REQ-123",""
"Part 7","L3315","SURVEY EXPERIENCE","Formal REQ children extracted","REQ-124",""
"Part 7","L3339","WALLET EXPERIENCE","Formal REQ children extracted","REQ-125",""
"Part 7","L3367","LEADERBOARD EXPERIENCE","Formal REQ children extracted","REQ-126",""
"Part 7","L3385","PROFILE PAGE","Formal REQ children extracted","REQ-127",""
"Part 7","L3407","SUPPORT EXPERIENCE","Formal REQ children extracted","REQ-128",""
"Part 7","L3429","ADMIN DESIGN","Formal REQ children extracted","REQ-129",""
"Part 7","L3453","DESIGN ACCESSIBILITY","Formal REQ children extracted","REQ-130",""
"Part 7","L3473","MICROINTERACTIONS","Formal REQ children extracted","REQ-131",""
"Part 7","L3493","EMPTY STATES","Formal REQ children extracted","REQ-132",""
"Part 7","L3507","ERROR PAGES","Formal REQ children extracted","REQ-133",""
"Part 7","L3531","FINAL UI DELIVERABLES","Formal REQ children extracted","REQ-134",""
"Part 8","L3569","GROWTH PHILOSOPHY","Formal REQ children extracted","REQ-135",""
"Part 8","L3595","BRAND POSITIONING","Formal REQ children extracted","REQ-136",""
"Part 8","L3627","TARGET AUDIENCE","Formal REQ children extracted","REQ-137",""
"Part 8","L3671","LAUNCH STRATEGY","Formal REQ children extracted","REQ-138",""
"Part 8","L3679","PHASE 1 — FOUNDATION","Formal REQ children extracted","REQ-139",""
"Part 8","L3705","PHASE 2 — CONTENT ENGINE","Formal REQ children extracted","REQ-140",""
"Part 8","L3725","CONTENT MARKETING STRATEGY","Formal REQ children extracted","REQ-141",""
"Part 8","L3745","Rewards Education","Reviewed — no separate formal REQ","None","Content-category label inside CONTENT MARKETING STRATEGY; category coverage is formalized under the containing section."
"Part 8","L3759","Trust Content","Reviewed — no separate formal REQ","None","Content-category label inside CONTENT MARKETING STRATEGY; category coverage is formalized under the containing section."
"Part 8","L3773","Search-Based Content","Formal REQ children extracted","REQ-142",""
"Part 8","L3791","YOUTUBE STRATEGY","Formal REQ children extracted","REQ-143",""
"Part 8","L3815","Content types:","Reviewed — no separate formal REQ","None","List label inside YOUTUBE STRATEGY, not an independent Constitution section."
"Part 8","L3849","SHORT-FORM VIDEO STRATEGY","Formal REQ children extracted","REQ-144",""
"Part 8","L3875","SOCIAL MEDIA STRATEGY","Formal REQ children extracted","REQ-145",""
"Part 8","L3903","SOCIAL MEDIA OPERATING SYSTEM","Formal REQ children extracted","REQ-146",""
"Part 8","L3921","SEO FOUNDATION","Formal REQ children extracted","REQ-147",""
"Part 8","L3949","ON-PAGE SEO","Formal REQ children extracted","REQ-148",""
"Part 8","L3967","BLOG SEO ENGINE","Formal REQ children extracted","REQ-149",""
"Part 8","L3999","EMAIL MARKETING SYSTEM","Formal REQ children extracted","REQ-150",""
"Part 8","L4033","REFERRAL SYSTEM (FUTURE READY)","Formal REQ children extracted","REQ-151",""
"Part 8","L4053","USER RETENTION STRATEGY","Formal REQ children extracted","REQ-152",""
"Part 8","L4075","ANALYTICS & GROWTH METRICS","Formal REQ children extracted","REQ-153",""
"Part 8","L4117","PAID ADVERTISING STRATEGY","Formal REQ children extracted","REQ-154",""
"Part 8","L4147","COMMUNITY BUILDING","Formal REQ children extracted","REQ-155",""
"Part 8","L4165","MARKETING DELIVERABLES","Formal REQ children extracted","REQ-156",""
"Part 9","L4199","INFRASTRUCTURE PHILOSOPHY","Formal REQ children extracted","REQ-157",""
"Part 9","L4225","INFRASTRUCTURE STRATEGY","Formal REQ children extracted","REQ-158",""
"Part 9","L4253","FREE-FIRST APPROACH","Formal REQ children extracted","REQ-159",""
"Part 9","L4285","CLOUD ARCHITECTURE REQUIREMENTS","Formal REQ children extracted","REQ-160",""
"Part 9","L4309","BACKEND INFRASTRUCTURE","Formal REQ children extracted","REQ-161",""
"Part 9","L4343","DATABASE INFRASTRUCTURE","Formal REQ children extracted","REQ-162",""
"Part 9","L4375","STORAGE ARCHITECTURE","Formal REQ children extracted","REQ-163",""
"Part 9","L4399","EMAIL INFRASTRUCTURE","Formal REQ children extracted","REQ-164",""
"Part 9","L4431","OTP INFRASTRUCTURE","Formal REQ children extracted","REQ-165",""
"Part 9","L4449","SMS OTP","Reviewed — no separate formal REQ","None","OTP option item inside OTP INFRASTRUCTURE, not an independent Constitution section; represented by a formal child under the containing section."
"Part 9","L4463","BACKGROUND JOB ARCHITECTURE","Formal REQ children extracted","REQ-166",""
"Part 9","L4495","ENVIRONMENT MANAGEMENT","Formal REQ children extracted","REQ-167",""
"Part 9","L4521","VERSION CONTROL","Formal REQ children extracted","REQ-168",""
"Part 9","L4539","CI/CD PIPELINE","Formal REQ children extracted","REQ-169",""
"Part 9","L4557","SECURITY OPERATIONS","Formal REQ children extracted","REQ-170",""
"Part 9","L4575","MONITORING & OBSERVABILITY","Formal REQ children extracted","REQ-171",""
"Part 9","L4609","LOGGING STRATEGY","Formal REQ children extracted","REQ-172",""
"Part 9","L4627","BACKUP STRATEGY","Formal REQ children extracted","REQ-173",""
"Part 9","L4651","DISASTER RECOVERY","Formal REQ children extracted","REQ-174",""
"Part 9","L4667","SCALING STRATEGY","Formal REQ children extracted","REQ-175",""
"Part 9","L4693","COST OPTIMIZATION","Formal REQ children extracted","REQ-176",""
"Part 9","L4709","DEPLOYMENT DOCUMENTATION","Formal REQ children extracted","REQ-177",""
"Part 9","L4735","FINAL INFRASTRUCTURE DIRECTIVE","Formal REQ children extracted","REQ-178",""
"Part 10","L4757","ROLE OF THE AI","Formal REQ children extracted","REQ-179",""
