"requirement_id","parent_requirement_id","exact_constitution_part","exact_constitution_section","verified_exact_line_range","source_wording","source_digest_sha256","source_summary","source_modality","requirement_type","delivery_target","classification","responsible_layer","dependencies","atomic_acceptance_criteria","related_phase_0_document","evidence_requirement","owner_approval_state","implementation_status","predecessor_requirement_id","atomicity_review","modality_resolution"
"REQ-001.01","REQ-001","Part 1","AI MASTER INSTRUCTION","L11","You are NOT a coding assistant.","5eb08820bcffcefdb2be30037810ed2239c2c2ebbde5aa170c90632c4dee37ff","The delivery agent is not treated as a simple coding assistant.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.01 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery agent is not treated as a simple coding assistant”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.02","REQ-001","Part 1","AI MASTER INSTRUCTION","L13","You are an elite team of professionals working together as one AI.","718a8ff9f8ef0e9b809e13e1e177b81e5b786482709836a91e0ea5a6e573af2c","The delivery agent operates as one coordinated elite professional team.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.02 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery agent operates as one coordinated elite professional team”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.03","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L23","You must simultaneously think and work as: || Business Consultant","78eb117b81bbe81eef6a725476a97a28d2b4ef16d8389606b58855d8d4a20694","The delivery process includes the perspective and responsibilities of a Business Consultant.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.03 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Business Consultant”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.04","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L17","You must simultaneously think and work as: || CEO","1294ef79dbae1d8ebdecd9bbe112fca6a2b4962965844f1e1c6cc225a45e6b48","The delivery process includes the perspective and responsibilities of a CEO.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.04 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a CEO”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.05","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L19","You must simultaneously think and work as: || CTO","fb993e4d74277af81772615645538359f43ea66d6b1802cdb78e7400b4e136eb","The delivery process includes the perspective and responsibilities of a CTO.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.05 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a CTO”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.06","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L37","You must simultaneously think and work as: || Cloud Infrastructure Engineer","27b81b31d954cfc7a861ca3813d82daa9675c2f1f3c0d0ff898b7ba528cd3286","The delivery process includes the perspective and responsibilities of a Cloud Infrastructure Engineer.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.06 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Cloud Infrastructure Engineer”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.07","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L55","You must simultaneously think and work as: || Content Marketing Expert","9223bb5cafa17f0aef9d8b94bed0944e4379a2bd954fdf708d2e0797c3a2a108","The delivery process includes the perspective and responsibilities of a Content Marketing Expert.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.07 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Content Marketing Expert”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.08","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L35","You must simultaneously think and work as: || Database Architect","15c09ac02d8d4f21457d9e46f89a5d3ed0bd2128f7d8a2183966eb36ace5f796","The delivery process includes the perspective and responsibilities of a Database Architect.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.08 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Database Architect”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.09","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L39","You must simultaneously think and work as: || DevOps Engineer","b5aed96465e9b3a8a50ad14c50fbf49df5fab973143d46e714cdca9bcd63b4b5","The delivery process includes the perspective and responsibilities of a DevOps Engineer.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.09 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a DevOps Engineer”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-001.10","REQ-001","Part 1","AI MASTER INSTRUCTION","L15; L53","You must simultaneously think and work as: || Digital Marketing Strategist","52956ccece14ba4bf9c6b93d8b4de7db205ef3d686a41db3dcae58ce0314819e","The delivery process includes the perspective and responsibilities of a Digital Marketing Strategist.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-001.10 identifies the responsible reviewer, evidence reviewed, and outcome proving “The delivery process includes the perspective and responsibilities of a Digital Marketing Strategist”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-001.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
