"legacy_requirement_id","review_issue","canonical_source","formal_replacement_ids","non_counted_or_governance_records","disposition","result"
"REQ-006","Excluded launch markets were previously at risk of being strengthened into a MUST or an invented enforcement mechanism.","L367","REQ-012.14; REQ-012.15; REQ-012.16; REQ-012.17","ODR-003","Preserved as four atomic SHOULD launch exclusions; no enforcement mechanism or stronger modality was added.","PASS"
"REQ-009","Future multilingual capability and V1 disablement have different modalities and must not be bundled or tied to an invented framework.","L397","REQ-013.11; REQ-013.12","None","Split into SHOULD technical possibility and MUST not enabled in V1; no implementation framework was invented.","PASS"
"REQ-019","Part 1 and Part 3 use different account-state vocabularies; example states cannot silently become the approved enum.","L457–L469; L1181–L1197","REQ-016.01; REQ-016.02; REQ-016.03; REQ-016.04; REQ-016.05; REQ-016.06; REQ-016.07; REQ-016.08; REQ-035.01; REQ-035.02","MAY-012; ODR-028; DDR-015","Binding state support remains formal, the Part 3 example list is non-counted, and taxonomy/transition resolution is deferred to ODR-028.","PASS — OWNER DECISION OPEN"
"REQ-027","The predecessor asserted that no earning stage may be skipped, wording absent from the Constitution.","L665–L693","REQ-022.01","MAY-028; OCR-001; OCR-002; DDR-002; ODR-016; ODR-027","Removed the unsupported no-skip assertion. The illustrated lifecycle is non-counted; binding provider-confirmation, maturity, and cleared-funds rules remain owner clarifications.","PASS"
"REQ-031","Architectural support for named withdrawal methods must not be represented as approved V1 activation.","L811–L823","REQ-026.01; REQ-026.02; REQ-026.03; REQ-026.04; REQ-026.05; REQ-026.06","ODR-005; ODR-006","Retained professional/transparent experience and support-ready architecture as SHOULD; V1 method activation remains an owner decision.","PASS — OWNER DECISION OPEN"
"REQ-055","The normalization qualifier ‘typically’ and exception ‘unless justified otherwise’ must be preserved.","L2083","REQ-068.01","None","Preserved the complete qualifier and exception in both source wording and summary.","PASS"
"REQ-058","An account-state-history implementation mechanism was previously presented as Constitution wording.","L457–L471; L1181–L1197; L1407–L1443","REQ-016.01; REQ-016.02; REQ-016.03; REQ-016.09; REQ-016.10; REQ-016.11; REQ-035.01; REQ-043.01","ODR-028; DDR-015","No fabricated state-history mechanism remains formal. The proposed transition history is explicitly separated as DDR-015.","PASS"
"REQ-076","Startup-friendly infrastructure is a constitutional MUST, not a recommendation.","L4201","REQ-157.01; REQ-157.02","ODR-008","Split startup-friendly and enterprise-ready attributes into two atomic MUST requirements.","PASS"
"REQ-080","CI/CD inclusions must retain the source SHOULD modality.","L4539–L4553","REQ-169.01; REQ-169.02; REQ-169.03; REQ-169.04; REQ-169.05; REQ-169.06","None","Deployment, validation, test, build, rollback, and deployment-pipeline clauses remain separate SHOULD requirements.","PASS"
"REQ-085","The controlled workflow and eight phase scopes must be traceable without collapsing their independently testable scope items.","L4933–L5063","REQ-186.01; REQ-187.01; REQ-187.02; REQ-187.03; REQ-187.04; REQ-187.05; REQ-188.01; REQ-188.02; REQ-188.03; REQ-188.04; REQ-188.05; REQ-188.06; REQ-189.01; REQ-189.02; REQ-189.03; REQ-189.04; REQ-189.05; REQ-190.01; REQ-190.02; REQ-190.03; REQ-190.04; REQ-191.01; REQ-191.02; REQ-191.03; REQ-191.04; REQ-192.01; REQ-192.02; REQ-192.03; REQ-192.04; REQ-192.05; REQ-192.06; REQ-192.07; REQ-193.01; REQ-193.02; REQ-193.03; REQ-193.04; REQ-193.05; REQ-194.01; REQ-194.02; REQ-194.03; REQ-194.04","None","The controlled-phases rule remains SHOULD; every named phase scope item is a separate atomic child requirement.","PASS"
