"record_type","record_id","label","title","description","source_locator","source_excerpt","status","owner","decision_or_evidence_needed","dependencies","notes"
"EFE","EFE-001","EFE","Provider contracts and integration specifications","Current provider agreements, API/webhook documentation, status semantics, validation evidence, settlement terms, reversals, country/device rules, and data-use limits must be verified.","L549; L751–L781; L1351–L1363; L2795–L2825","Survey Providers (without misleading claims) || SURVEY EXPERIENCE / Survey discovery must be extremely simple. / Users should instantly understand: / Reward / Estimated Time / Difficulty (if available) / Availability / Category / Country Eligibility / Device Compatibility / When a survey is clicked: / Open according to provider integration requirements. / Do not modify provider workflows in ways that violate provider agreements. / After completion: / Automatically synchronize status if supported. / If immediate confirmation is unavailable, clearly explain that validation may take time depending on the provider. || PROVIDER INTEGRATION FRAMEWORK / The platform must use a modular provider architecture. / Every provider should behave like a plugin. / Adding or removing a provider should require minimal changes. / The system should abstract provider-specific logic behind a common interface where feasible. / The platform should support independent provider configuration, health monitoring, logging, and error reporting. / Provider integrations must comply with each provider's published requirements and agreements. || PROVIDER INTEGRATION LAYER / Create an abstraction layer for external providers. / The AI should design a provider interface that minimizes provider-specific code throughout the application. / When adding a new provider, implementation should primarily involve creating a new integration module rather than modifying core business logic. / Integrations should comply with each provider's published requirements and agreements. / \--- / WEBHOOK ARCHITECTURE / Where supported by providers, design a secure webhook handling system. / Requirements include: / Verification of incoming requests / Logging / Retry handling / Idempotency / Error reporting / Monitoring / Webhook processing should be resilient and auditable.","Open","Provider Operations / Legal","Provider-issued current contracts and technical documentation, retained with version/date and approval record.","None identified",""
"EFE","EFE-002","EFE","Withdrawal-provider availability and terms","Country availability, currencies, fees, settlement, reserves, transaction limits, API capability, dispute handling, and prohibited use for PayPal, Virtual Visa, crypto, or alternatives require current evidence.","L815–L823; L2681–L2695","Supported withdrawal methods should be designed to support: / PayPal / Virtual Visa / Cryptocurrency / The system architecture should make it easy to add additional methods later. || WITHDRAWAL APIs / Support: / Available Methods / Withdrawal Request / Withdrawal Status / Withdrawal History / Validation / The system should validate requests before processing.","Open","Finance / Legal","Official provider documentation and signed commercial/compliance terms.","None identified",""
"EFE","EFE-003","EFE","Target-market legal and privacy obligations","Privacy, cookies, consumer disclosures, promotions, age/consent, marketing communications, data rights, retention, taxation, and rewards-platform rules vary by launch market.","L337–L369; L2163; L2337–L2353; L3627–L3667","TARGET COUNTRIES / Primary launch markets include: / United States / United Kingdom / Canada / Ireland / Australia / Germany / Belgium / Other selected European countries / Saudi Arabia / United Arab Emirates / Qatar / Oman / Bahrain / The initial public launch should not target Pakistan, India, Bangladesh, or China. / The platform architecture should still be capable of supporting additional countries in the future if the business expands. || Only collect data that is necessary for the platform. || DATA RETENTION / The AI should recommend retention policies for different categories of data. / Examples: / Logs / Audit records / Notifications / Sessions / Support tickets / The recommendations should balance operational needs, storage costs, and applicable legal obligations. || TARGET AUDIENCE / Primary audiences: / United States / United Kingdom / Canada / Australia / Ireland / Germany / Selected European Markets / GCC Countries: / Saudi Arabia / UAE / Qatar / Oman / Bahrain / Marketing campaigns should be adapted based on: / Country / Culture / Language behavior / Internet habits / Reward preferences","Open","Legal / Compliance","Qualified legal analysis by jurisdiction with dated sources and applicability matrix.","None identified",""
"EFE","EFE-004","EFE","Cloud and managed-service pricing/limits","Free tiers, quotas, pricing, SLA, region availability, lock-in, migration tools, and service limits are time-sensitive external facts.","L4225–L4281; L4343–L4395","INFRASTRUCTURE STRATEGY / The AI must evaluate available infrastructure options objectively. / Do not select technology based only on popularity. / Evaluate based on: / Free-tier availability / Resource limits / Scalability / Reliability / Security / Developer experience / Documentation quality / Long-term cost / Migration difficulty / \--- / FREE-FIRST APPROACH / During the initial startup phase, prioritize free or extremely low-cost solutions where practical. / The AI should analyze options such as: / AWS Free Tier / AWS Lambda / Cloudflare Workers / Cloudflare Pages / Google Cloud Free Tier / Google Apps Script (where appropriate) / Supabase / Neon PostgreSQL / Managed MySQL/MariaDB solutions / Other suitable startup platforms / The AI must recommend the best combination with reasoning. / Do not choose free services if they create future technical debt. || DATABASE INFRASTRUCTURE / The AI should evaluate: / PostgreSQL / MySQL / MariaDB / Serverless databases / Managed database services / Consider: / Free tier limits / Backups / Performance / Scaling options / Security / Migration possibilities / The database must not become the first bottleneck. / \--- / STORAGE ARCHITECTURE / Define storage strategy for: / User uploads / Blog images / Documents / System files / Backups / The AI should consider: / Object storage / CDN integration / Cost optimization","Open","Architecture / FinOps","Current official vendor documentation and dated cost/limit comparison.","None identified",""
"EFE","EFE-005","EFE","Email deliverability and provider terms","Free limits, deliverability, API quality, sending-domain requirements, suppression handling, regional availability, and marketing restrictions require verification.","L1387–L1403; L4399–L4427","EMAIL SYSTEM / Support transactional emails for: / Email verification / Password reset / Security notifications / Withdrawal updates / Platform announcements / Support ticket updates / The AI should evaluate and recommend the most suitable email delivery solution based on reliability, scalability, cost, and free-tier availability. || EMAIL INFRASTRUCTURE / The system requires reliable email delivery. / Evaluate providers based on: / Free limits / Deliverability / API quality / Reliability / Scalability / Use email infrastructure for: / Account verification / Password reset / Security notifications / Withdrawal notifications / Support updates / Marketing communication (future)","Open","Infrastructure / Marketing Compliance","Official provider documentation, current pricing, deliverability test, and acceptable-use review.","None identified",""
"EFE","EFE-006","EFE","SMS/OTP provider coverage and regulation","SMS coverage, sender registration, cost, delivery, fraud controls, privacy terms, and verification-service availability vary by country.","L451–L453; L4431–L4459","Phone verification is not required during registration. / Phone OTP verification should occur only when required for sensitive actions (such as the first withdrawal), if the business chooses to enable it. || OTP INFRASTRUCTURE / OTP requirements: / Secure generation / Expiration / Rate limiting / Abuse prevention / Logging / The AI should recommend: / Email OTP / SMS OTP / Third-party verification services / based on: / Cost / Reliability / Target countries","Open","Security / Compliance","Official provider coverage/pricing plus country-specific messaging and consent review.","None identified",""
"EFE","EFE-007","EFE","Foreign-exchange data source","Accuracy, licensing, update frequency, outage policy, and attribution requirements of the chosen FX source require current evidence.","L417–L427; L799–L805","Users should see: / Points / USD / Estimated Local Currency / Local currency is display-only. / All calculations, accounting, wallet balances, provider earnings, and business reporting must use USD as the source of truth. || Every page should display: / Points / USD / Estimated Local Currency","Open","Finance / Architecture","Official data-provider terms, SLA/limits, accuracy test, and finance approval.","None identified",""
"EFE","EFE-008","EFE","Accessibility conformance baseline","The Constitution requires accessibility best practices but does not name a conformance standard or level.","L1807–L1823; L3453–L3469","ACCESSIBILITY / Design for broad usability. / Include: / Keyboard navigation / Proper labels / Logical focus order / Adequate color contrast / Screen reader support where practical / Accessibility should be part of the initial design. || DESIGN ACCESSIBILITY / Follow accessibility best practices. / Support: / Keyboard navigation / Visible focus states / Readable contrast / Scalable text / Screen reader compatibility where practical / Avoid relying solely on color to communicate meaning.","Open","Accessibility / Legal","Current authoritative accessibility standard, approved conformance level, and legal applicability review.","None identified",""
"EFE","EFE-009","EFE","Core Web Vitals thresholds","“Excellent Core Web Vitals” requires current metric definitions and threshold evidence.","L995–L1013","PERFORMANCE TARGETS / The platform should aim for: / Fast initial page load / Optimized images / Lazy loading / Efficient caching / Minimal JavaScript / Excellent Core Web Vitals / Responsive mobile experience / The AI should recommend measurable performance targets and architecture choices to support them.","Open","Performance Engineering","Current official web performance definitions, field-measurement method, and approved budgets.","None identified",""
"EFE","EFE-010","EFE","Payments, crypto, KYC, AML, and sanctions applicability","Withdrawal methods and target countries may trigger identity, payments, virtual-asset, sanctions, tax, or AML obligations.","L815–L823; L5225–L5243","Supported withdrawal methods should be designed to support: / PayPal / Virtual Visa / Cryptocurrency / The system architecture should make it easy to add additional methods later. || SECURITY PRINCIPLE / Security is not an optional feature. / It must exist from the beginning. / Always consider: / User privacy / Financial data protection / Account security / Fraud prevention / Abuse prevention / Secure integrations","Open","Legal / Finance Compliance","Qualified legal/compliance opinion and provider-specific onboarding requirements.","None identified",""
