"record_type","record_id","label","title","description","source_locator","source_excerpt","status","owner","decision_or_evidence_needed","dependencies","notes"
"DDR","DDR-001","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Immutable reward-lot ledger","Model each earning as an immutable reward lot with append-only ledger postings and derived balance buckets rather than mutable aggregate balances.","L611–L649; L2167–L2187","WALLET SYSTEM / Design a professional wallet similar to fintech applications. / Wallet must include: / Current Balance / Pending Balance / Validated Balance / Mature Balance / Withdrawable Balance / Total Earnings / Total Withdrawals / Processing Withdrawals / Rejected Withdrawals / Reward Points / USD Value / Estimated Local Currency / Wallet History / Transaction History / Provider History / Withdrawal History / Reward History || Wallet Domain / Support: / Reward Points / USD balances / Pending balances / Validated balances / Mature balances / Withdrawable balances / Transaction history / Adjustment history / All financial changes should be traceable through transactions rather than by directly editing balances.","Open","Product Owner","Architecture review, accounting invariants, reversal model, and performance proof.","ODR-016; ODR-018; ODR-020",""
"DDR","DDR-002","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Event-driven earning state machine","Use an explicit state machine for Pending, Validated, Mature, Withdrawable, Paid, Reversed, and exceptional states, with guarded transitions and recorded causes.","L665–L711; L2191–L2209","BALANCE MATURITY SYSTEM / One of the most important features. / Every earning should have a lifecycle. / Example: / Survey Completed / ↓ / Pending / ↓ / Validated / ↓ / Mature / ↓ / Withdrawable / ↓ / Paid / Every transaction must show: / Status / Provider / Earned Date / Estimated Maturity Date / Amount / Points / USD / Notes || Survey Domain / Design the schema to support multiple providers through a common abstraction. / Track information such as: / Survey availability / User participation / Status / Reward / Completion timestamps / Validation status / The exact implementation should respect provider requirements.","Open","Product Owner","Owner approval of transition matrix and provider-specific rules.","OCR-001; OCR-002; ODR-016",""
"DDR","DDR-003","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Provider adapter contract","Define a stable provider adapter interface with capability flags, normalized survey/status payloads, credential isolation, and certification tests.","L1351–L1363; L2677; L2795–L2803","PROVIDER INTEGRATION FRAMEWORK / The platform must use a modular provider architecture. / Every provider should behave like a plugin. / Adding or removing a provider should require minimal changes. / The system should abstract provider-specific logic behind a common interface where feasible. / The platform should support independent provider configuration, health monitoring, logging, and error reporting. / Provider integrations must comply with each provider's published requirements and agreements. || Provider-specific logic should remain isolated behind integration layers where possible. || PROVIDER INTEGRATION LAYER / Create an abstraction layer for external providers. / The AI should design a provider interface that minimizes provider-specific code throughout the application. / When adding a new provider, implementation should primarily involve creating a new integration module rather than modifying core business logic. / Integrations should comply with each provider's published requirements and agreements.","Open","Product Owner","Architecture approval and at least two provider proof-of-concept adapters.","ODR-014; EFE-001",""
"DDR","DDR-004","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Webhook inbox and idempotency store","Persist verified webhook envelopes before processing, enforce provider/event idempotency keys, and retain retry/audit history.","L2807–L2825","WEBHOOK ARCHITECTURE / Where supported by providers, design a secure webhook handling system. / Requirements include: / Verification of incoming requests / Logging / Retry handling / Idempotency / Error reporting / Monitoring / Webhook processing should be resilient and auditable.","Open","Product Owner","Threat review, schema approval, replay policy, and provider verification tests.","DDR-003; EFE-001",""
"DDR","DDR-005","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Policy engine for RBAC and Limit Templates","Centralize role permissions, account-state restrictions, and Limit Template overrides in one deny-by-default authorization policy evaluator.","L1181–L1281; L2635; L2791","ACCOUNT MODERATION / Every account should support administrative states. / Examples include: / Active / Limited / Suspended / Disabled / Archived / The platform should be designed so additional states can be added later without requiring database redesign. / \--- / LIMIT TEMPLATE SYSTEM / Instead of manually configuring restrictions every time, create reusable Limit Templates. / Examples: / Template A / Withdrawal Restricted / Template B / Support Only / Template C / Read Only / Template D / Temporary Restriction / Template E / Survey Access Disabled / Each template should allow granular control over platform capabilities. / Examples of configurable permissions include: / Login / Profile Editing / Email Change / Password Change / Survey Access / Wallet Access / Withdrawal Access / Notifications / Blog Access / Referral Module (future) / Promotional Features (future) / Support Ticket Creation / Templates should be editable, cloneable, and assignable to users. / \--- / ROLE MANAGEMENT / The system should support multiple administrator roles. / Examples: / Super Admin / Operations Admin / Finance Admin / Support Admin / Content Admin / Marketing Admin / Developer / Read Only Auditor / Every role should use Role-Based Access Control (RBAC) with granular permissions. || The AI should ensure users can only access their own data unless explicitly authorized. || Administrative operations should require appropriate permissions.","Open","Product Owner","Security architecture approval and policy-conflict test matrix.","ODR-013",""
"DDR","DDR-006","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Versioned configuration registry","Store business settings as typed, versioned, effective-dated configuration with validation, change approval, rollback, and audit history.","L1285–L1315; L1827–L1851; L5095–L5113","SYSTEM SETTINGS / Avoid hardcoding business values. / The following should be configurable from the admin panel whenever appropriate: / Points-to-USD conversion / Minimum withdrawal amount / Available withdrawal methods / Leaderboard settings / Registration controls / Email templates / Platform announcements / Maintenance mode / Feature flags / Currency display preferences / Country availability / Referral settings (future) / Reward campaigns (future) || CONFIGURATION PHILOSOPHY / Avoid hardcoded values whenever practical. / Business rules that are likely to change should be configurable through the Super Admin Panel. / Examples include: / Points conversion / Withdrawal thresholds / Feature availability / Country availability / Notification templates / Announcement banners / Maintenance mode / Reward campaigns / Leaderboard settings || BUSINESS RULE CONFIGURATION / Important business values must be configurable. / Examples: / 1000 Points \= 1 USD / Withdrawal threshold / Available countries / Reward rules / Feature availability / Leaderboard settings / Do not hardcode values that may change.","Open","Product Owner","Architecture and owner approval of scope, rollout semantics, and emergency-change process.","None identified",""
"DDR","DDR-007","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Tamper-evident audit log","Use append-only audit events with integrity chaining or equivalent tamper-evidence, protected access, export, and retention enforcement.","L1407–L1443; L2313–L2325","AUDIT LOGGING / Every important administrative action should be logged. / Examples: / User modifications / Permission changes / Withdrawal approvals / Settings changes / Content updates / Login attempts / Failed authentication events / Audit logs should include: / Timestamp / Administrator / Action / Target / Reason (where applicable) / IP information if appropriate / Outcome / Audit records should be searchable. || Audit Domain / Maintain immutable records of significant administrative and system actions. / Examples include: / Settings changes / User moderation / Permission changes / Administrative actions","Open","Product Owner","Security/compliance review and integrity-verification test.","ODR-023",""
"DDR","DDR-008","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Transactional outbox and resilient job processing","Use a transactional outbox for state-change notifications and jobs, plus retries, backoff, dead-letter handling, deduplication, and operator replay.","L1905–L1923; L2829–L2845; L4463–L4491","BACKGROUND PROCESSING / Long-running or scheduled tasks should be separated from the main user request flow where appropriate. / Examples: / Email sending / Notification processing / Scheduled synchronization / Data cleanup / Report generation / Maintenance routines / The AI should recommend the most suitable architecture for these workloads based on the selected infrastructure. || BACKGROUND PROCESSING / Long-running API operations should be processed asynchronously where appropriate. / Examples include: / Email delivery / Notification delivery / Synchronization / Scheduled maintenance / Reporting / The AI should recommend the most suitable job processing approach based on the selected infrastructure. || BACKGROUND JOB ARCHITECTURE / The platform will require background processing. / Examples: / Email sending / Survey synchronization / Reward updates / Notification processing / Analytics processing / Scheduled tasks / The AI should design a reliable job system. / Requirements: / Retry handling / Failure tracking / Monitoring / Queue management","Open","Product Owner","Architecture approval and failure/recovery test evidence.","None identified",""
"DDR","DDR-009","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Contract-first API specification","Use a versioned OpenAPI contract as the single API documentation/test-generation source with standard envelopes and error schemas.","L2559–L2585; L2893–L2913; L2957–L2979","API DESIGN PRINCIPLES / Every API should follow consistent standards. / Examples include: / Consistent naming conventions / Standard request validation / Standard response structure / Meaningful error messages / Pagination for large datasets / Filtering / Sorting / Search / Versioning / Rate limiting where appropriate / The AI should recommend and document these standards before implementation. || API DOCUMENTATION / Generate comprehensive API documentation. / Include: / Authentication flow / Endpoint descriptions / Request examples / Response examples / Error documentation / Version history / Integration guidance / Documentation should remain synchronized with implementation. || FINAL API DELIVERABLES / Before implementation, generate: / 1\. API Architecture Document / 2\. Authentication Flow Documentation / 3\. API Standards Guide / 4\. Provider Integration Guide / 5\. Webhook Design Guide / 6\. Error Handling Standards / 7\. Security Review / 8\. Testing Strategy / 9\. API Documentation / 10\. Implementation Roadmap","Open","Product Owner","API architecture approval and CI contract-drift enforcement proof.","None identified",""
"DDR","DDR-010","DERIVED PROPOSAL — REQUIRES ARCHITECTURE OR OWNER APPROVAL","Modular-monolith initial topology","Begin with a modular monolith whose domain boundaries can be extracted later, avoiding premature distributed-system complexity while preserving API contracts.","L1673–L1741; L4201–L4205; L4735–L4743","ENGINEERING PRINCIPLES / The platform must be: / Modular / Loosely coupled / Highly cohesive / API-friendly / Cloud-ready / Mobile-ready / Future-proof / Easily testable / Well documented / Version controlled / Avoid unnecessary complexity. / \--- / PROJECT STRUCTURE / The AI should organize the project using a clean architecture. / Suggested high-level modules include: / Authentication / User Management / Wallet / Rewards / Surveys / Withdrawals / Notifications / CMS / Blog / Support / Leaderboards / Admin ERP / Analytics / Settings / Audit Logs / Background Jobs / Integrations / Each module should have clear boundaries and minimal coupling. || EarnPearls must be designed with a startup-friendly but enterprise-ready infrastructure approach. / The platform should begin with cost-efficient infrastructure while maintaining a clear migration path toward larger enterprise infrastructure as user growth increases. / The architecture must avoid vendor lock-in wherever practical. || FINAL INFRASTRUCTURE DIRECTIVE / Build EarnPearls like a serious global platform, but respect startup realities. / Do not over-engineer too early. / Do not create a fragile prototype. / Create a foundation that can start cheaply and grow professionally.","Open","Product Owner","Backend architecture comparison and explicit owner approval.","ODR-002; ODR-008",""
