"predecessor_requirement_id","replacement_requirement_id","change_type","exact_constitution_part","exact_constitution_section","verified_exact_line_range","change_summary"
"REQ-001.01","REQ-001.01","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L11","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.02","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L13","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.03","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L23","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.04","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L17","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.05","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L19","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.06","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L37","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.07","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L55","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.08","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L35","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.09","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L39","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.10","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L53","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
"REQ-001.01","REQ-001.11","Retained and re-anchored","Part 1","AI MASTER INSTRUCTION","L15; L59","Exact heading, taxonomy, Phase 0 mapping, acceptance criterion, and evidence rule corrected."
