"record_type","record_id","label","title","description","source_locator","source_excerpt","status","owner","decision_or_evidence_needed","dependencies","notes"
"ODR","ODR-001","ODR","Authoritative Phase 0 document map","The Constitution names many required deliverables but does not assign the EP-P0-02 through EP-P0-13 identifiers or ownership map.","GAP — no controlling Constitution clause","No Constitution wording is claimed for this gap.","Resolved — authoritative handoff map","Product Owner","Resolved by the Phase 0 Agent Handoff & Audit Log document index.","None identified","EP-P0-01 through EP-P0-13 titles and dependencies are now mapped in every formal REQ."
"ODR","ODR-002","ODR","Backend technology and runtime architecture","Select the backend framework/runtime and migration path after the mandated comparison.","L1515–L1537; L4309–L4340","BACKEND ARCHITECTURE / Do not assume a fixed backend technology. / Evaluate suitable technologies based on: / Free-tier friendliness / Scalability / Security / Maintainability / Performance / Developer productivity / Long-term sustainability / Compare appropriate options (such as PHP frameworks, serverless platforms, managed databases, and supporting services) and recommend the best architecture with clear reasoning. / The recommendation should prioritize a smooth migration path from free infrastructure to paid infrastructure as the platform grows. || BACKEND INFRASTRUCTURE / The AI must evaluate backend options based on: / Performance / Security / Cost / Developer availability / Maintenance requirements / Possible options may include: / PHP/Laravel / Node.js / Serverless Functions / Other modern backend approaches / The final recommendation must include: / Why selected / Why alternatives rejected / Scaling path","Open","Product Owner","Approve the backend stack, deployment model, scaling path, and rejected alternatives.","EFE-004",""
"ODR","ODR-003","ODR","Launch-country and eligibility matrix","“Other selected European countries” is undefined and country eligibility controls require an authoritative launch matrix.","L337–L369; L1289–L1312","TARGET COUNTRIES / Primary launch markets include: / United States / United Kingdom / Canada / Ireland / Australia / Germany / Belgium / Other selected European countries / Saudi Arabia / United Arab Emirates / Qatar / Oman / Bahrain / The initial public launch should not target Pakistan, India, Bangladesh, or China. / The platform architecture should still be capable of supporting additional countries in the future if the business expands. || The following should be configurable from the admin panel whenever appropriate: / Points-to-USD conversion / Minimum withdrawal amount / Available withdrawal methods / Leaderboard settings / Registration controls / Email templates / Platform announcements / Maintenance mode / Feature flags / Currency display preferences / Country availability","Open","Product Owner","Approve exact countries, excluded regions, eligibility rules, geolocation policy, and future activation process.","EFE-003",""
"ODR","ODR-004","ODR","Frontend architecture and design approvals","Frontend architecture, palette, design system, and implementation approval remain frontend-owner decisions.","L1541–L1557; L3111–L3145; L3531–L3557","FRONTEND ARCHITECTURE / The frontend should be: / Responsive / Modular / Accessible / Component-based where appropriate / Optimized for performance / Easy to maintain / The AI should recommend an architecture that balances simplicity with long-term maintainability. || COLOR SYSTEM / The AI should recommend a professional color palette. / Suggested direction: / Primary Color / Deep Blue / Secondary / Emerald Green / Success / Green / Warning / Amber / Danger / Red / Neutral / White / Light Gray / Dark Gray / Avoid using too many colors. || FINAL UI DELIVERABLES / Generate: / Complete Design System / Component Library / Design Tokens / Typography Guide / Color Guide / Responsive Guidelines / Accessibility Review / UX Documentation / Wireframes / High-Fidelity Mockups / Design QA Checklist / Only after approval should UI implementation begin.","Open","Product Owner","Approve frontend stack, design tokens, accessibility target, responsive baseline, and UI gate.","EFE-008; EFE-009",""
"ODR","ODR-005","ODR","V1 withdrawal methods","The architecture should support PayPal, Virtual Visa, and cryptocurrency, but the Constitution does not approve which methods launch in V1.","L811–L823; L1289–L1295","WITHDRAWAL SYSTEM / The withdrawal experience should feel professional and transparent. / Supported withdrawal methods should be designed to support: / PayPal / Virtual Visa / Cryptocurrency / The system architecture should make it easy to add additional methods later. || The following should be configurable from the admin panel whenever appropriate: / Points-to-USD conversion / Minimum withdrawal amount / Available withdrawal methods","Open","Product Owner","Approve V1 payment methods, country coverage, fees, reserves, settlement flow, and fallback behavior.","EFE-002; EFE-010",""
"ODR","ODR-006","ODR","Withdrawal thresholds, fees, and limits","Minimum withdrawal is configurable, but no default threshold, fee, frequency, or account limit is specified.","L1285–L1295; L5095–L5113","SYSTEM SETTINGS / Avoid hardcoding business values. / The following should be configurable from the admin panel whenever appropriate: / Points-to-USD conversion / Minimum withdrawal amount / Available withdrawal methods || BUSINESS RULE CONFIGURATION / Important business values must be configurable. / Examples: / 1000 Points \= 1 USD / Withdrawal threshold / Available countries / Reward rules / Feature availability / Leaderboard settings / Do not hardcode values that may change.","Open","Product Owner","Approve threshold, fees, daily/monthly limits, cooldowns, and change-governance policy.","ODR-005",""
"ODR","ODR-007","ODR","Sensitive-action verification and KYC trigger policy","Phone OTP is optional for sensitive actions and the OTP channel must be recommended, but the triggering actions and KYC relationship are not decided.","L451–L453; L4431–L4459","Phone verification is not required during registration. / Phone OTP verification should occur only when required for sensitive actions (such as the first withdrawal), if the business chooses to enable it. || OTP INFRASTRUCTURE / OTP requirements: / Secure generation / Expiration / Rate limiting / Abuse prevention / Logging / The AI should recommend: / Email OTP / SMS OTP / Third-party verification services / based on: / Cost / Reliability / Target countries","Open","Product Owner","Approve sensitive actions, first-withdrawal controls, OTP channel hierarchy, recovery flow, and any KYC triggers.","EFE-006; EFE-010",""
"ODR","ODR-008","ODR","Infrastructure platform selection","The Constitution mandates evaluation but does not select the cloud, serverless, managed-service, or hybrid combination.","L4225–L4281","INFRASTRUCTURE STRATEGY / The AI must evaluate available infrastructure options objectively. / Do not select technology based only on popularity. / Evaluate based on: / Free-tier availability / Resource limits / Scalability / Reliability / Security / Developer experience / Documentation quality / Long-term cost / Migration difficulty / \--- / FREE-FIRST APPROACH / During the initial startup phase, prioritize free or extremely low-cost solutions where practical. / The AI should analyze options such as: / AWS Free Tier / AWS Lambda / Cloudflare Workers / Cloudflare Pages / Google Cloud Free Tier / Google Apps Script (where appropriate) / Supabase / Neon PostgreSQL / Managed MySQL/MariaDB solutions / Other suitable startup platforms / The AI must recommend the best combination with reasoning. / Do not choose free services if they create future technical debt.","Open","Product Owner","Approve hosting providers, regions, service boundaries, migration triggers, and operational ownership.","EFE-004; EFE-011",""
"ODR","ODR-009","ODR","Database engine and service","PostgreSQL, MySQL, MariaDB, serverless, and managed options must be evaluated before a final engine/service is selected.","L4343–L4371","DATABASE INFRASTRUCTURE / The AI should evaluate: / PostgreSQL / MySQL / MariaDB / Serverless databases / Managed database services / Consider: / Free tier limits / Backups / Performance / Scaling options / Security / Migration possibilities / The database must not become the first bottleneck.","Open","Product Owner","Approve engine, provider, region, availability model, connection strategy, and scaling triggers.","EFE-004; EFE-011",""
"ODR","ODR-010","ODR","Object storage and CDN design","The storage strategy must be defined, but provider, region, retention classes, malware handling, and CDN policy are open.","L4375–L4395","STORAGE ARCHITECTURE / Define storage strategy for: / User uploads / Blog images / Documents / System files / Backups / The AI should consider: / Object storage / CDN integration / Cost optimization","Open","Product Owner","Approve storage provider, buckets/classes, CDN, upload limits, malware scanning, encryption, and lifecycle rules.","EFE-004; EFE-011",""
"ODR","ODR-011","ODR","Backup schedule and storage policy","The backup plan must define frequency and location, but the values are not supplied.","L4627–L4647","BACKUP STRATEGY / Create a complete backup plan. / Include: / Database backups / File backups / Configuration backups / Define: / Backup frequency / Storage location / Recovery process / Testing procedure","Open","Product Owner","Approve backup frequency, retention, immutability, encryption, geographic placement, and restore-test cadence.","EFE-011",""
"ODR","ODR-012","ODR","Recovery objectives","The disaster-recovery strategy must define RTO and RPO, but the targets are not supplied.","L4651–L4663","DISASTER RECOVERY / Create a recovery strategy. / Define: / Recovery Time Objective (RTO) / Recovery Point Objective (RPO) / Emergency procedures / Responsible roles","Open","Product Owner","Approve RTO/RPO by service tier, incident authority, communications, and exercise cadence.","ODR-008; ODR-009; ODR-010; ODR-011",""
"ODR","ODR-013","ODR","Admin roles, permissions, and Limit Template catalog","Role and restriction examples are not a final permission matrix or V1 template catalog.","L1201–L1281","LIMIT TEMPLATE SYSTEM / Instead of manually configuring restrictions every time, create reusable Limit Templates. / Examples: / Template A / Withdrawal Restricted / Template B / Support Only / Template C / Read Only / Template D / Temporary Restriction / Template E / Survey Access Disabled / Each template should allow granular control over platform capabilities. / Examples of configurable permissions include: / Login / Profile Editing / Email Change / Password Change / Survey Access / Wallet Access / Withdrawal Access / Notifications / Blog Access / Referral Module (future) / Promotional Features (future) / Support Ticket Creation / Templates should be editable, cloneable, and assignable to users. / \--- / ROLE MANAGEMENT / The system should support multiple administrator roles. / Examples: / Super Admin / Operations Admin / Finance Admin / Support Admin / Content Admin / Marketing Admin / Developer / Read Only Auditor / Every role should use Role-Based Access Control (RBAC) with granular permissions.","Open","Product Owner","Approve V1 admin roles, least-privilege matrix, segregation of duties, templates, override rules, expiry, and emergency access.","None identified",""
"ODR","ODR-014","ODR","Provider launch and visibility policy","The modular framework is required, but provider selection, naming/visibility, per-provider caps, routing, and failure policy are not specified.","L751–L781; L1351–L1383; L2795–L2803","SURVEY EXPERIENCE / Survey discovery must be extremely simple. / Users should instantly understand: / Reward / Estimated Time / Difficulty (if available) / Availability / Category / Country Eligibility / Device Compatibility / When a survey is clicked: / Open according to provider integration requirements. / Do not modify provider workflows in ways that violate provider agreements. / After completion: / Automatically synchronize status if supported. / If immediate confirmation is unavailable, clearly explain that validation may take time depending on the provider. || PROVIDER INTEGRATION FRAMEWORK / The platform must use a modular provider architecture. / Every provider should behave like a plugin. / Adding or removing a provider should require minimal changes. / The system should abstract provider-specific logic behind a common interface where feasible. / The platform should support independent provider configuration, health monitoring, logging, and error reporting. / Provider integrations must comply with each provider's published requirements and agreements. / \--- / API MANAGEMENT / The admin should be able to: / View API status / Enable or disable integrations / View synchronization logs / Monitor failures / Retry synchronization jobs / View response times / Receive alerts on repeated failures || PROVIDER INTEGRATION LAYER / Create an abstraction layer for external providers. / The AI should design a provider interface that minimizes provider-specific code throughout the application. / When adding a new provider, implementation should primarily involve creating a new integration module rather than modifying core business logic. / Integrations should comply with each provider's published requirements and agreements.","Open","Product Owner","Approve launch providers, user-facing visibility, routing/caps, credentials ownership, sandbox certification, and disablement criteria.","EFE-001",""
