"record_type","record_id","predecessor_requirement_id","exact_constitution_part","verified_exact_line_range","source_wording","source_summary","disposition","counted_in_formal_req_total"
"MAY_SOURCE_OPTION","MAY-001","REQ-001.05","Part 1","L77–L103","Future features may include: / Survey Providers / Offerwalls / Partner Sign-up Offers / Referral System / Leaderboards / Daily Rewards / Reward Games / Cashback / Gift Cards / Promotional Campaigns / Loyalty Programs / Mobile Applications / AI Automation","The architecture records the listed future capability families as potential expansion domains without treating them as activated V1 features.","Pure MAY feature examples; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-002","REQ-007.07","Part 1","L469","The Super Admin must be able to create multiple reusable Limit Templates (for example, 5–10 templates), each with configurable permissions. Permissions may include access to surveys, withdrawals, profile editing, password changes, wallet visibility, referrals, support features, and other modules. Hidden modules should not appear in the interface, and direct URL access should be denied with an appropriate authorization response.","Limit Templates can control wallet visibility.","Example Limit Template permission from a MAY clause; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-003","REQ-007.08","Part 1","L469","The Super Admin must be able to create multiple reusable Limit Templates (for example, 5–10 templates), each with configurable permissions. Permissions may include access to surveys, withdrawals, profile editing, password changes, wallet visibility, referrals, support features, and other modules. Hidden modules should not appear in the interface, and direct URL access should be denied with an appropriate authorization response.","Limit Templates can control referrals.","Example Limit Template permission from a MAY clause; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-004","REQ-007.09","Part 1","L469","The Super Admin must be able to create multiple reusable Limit Templates (for example, 5–10 templates), each with configurable permissions. Permissions may include access to surveys, withdrawals, profile editing, password changes, wallet visibility, referrals, support features, and other modules. Hidden modules should not appear in the interface, and direct URL access should be denied with an appropriate authorization response.","Limit Templates can control support features.","Example Limit Template permission from a MAY clause; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-005","REQ-007.10","Part 1","L469","The Super Admin must be able to create multiple reusable Limit Templates (for example, 5–10 templates), each with configurable permissions. Permissions may include access to surveys, withdrawals, profile editing, password changes, wallet visibility, referrals, support features, and other modules. Hidden modules should not appear in the interface, and direct URL access should be denied with an appropriate authorization response.","Limit Templates can control other modules through an extensible permission model.","Example Limit Template permission from a MAY clause; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-006","REQ-013.03","Part 2","L723; L725","Possible rankings: || Top Weekly Earners","The leaderboard may rank top weekly earners.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-007","REQ-013.04","Part 2","L723; L727","Possible rankings: || Top Monthly Earners","The leaderboard may rank top monthly earners.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-008","REQ-013.05","Part 2","L723; L729","Possible rankings: || Most Surveys Completed","The leaderboard may rank users by surveys completed.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-009","REQ-013.06","Part 2","L723; L731","Possible rankings: || Highest Streak","The leaderboard may rank users by highest streak.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-010","REQ-013.07","Part 2","L723; L733","Possible rankings: || Highest Referral Count (future feature)","A future leaderboard may rank referral counts.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-011","REQ-019.03","Part 2","L923–L937","Categories may include: / Online Rewards / Survey Tips / Money Saving / Remote Lifestyle / Platform Updates / Guides / News","The CMS can organize the example blog category families without treating the examples as a closed list.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-012","REQ-024.02","Part 3","L1185–L1195","Examples include: / Active / Limited / Suspended / Disabled / Archived","The state model can represent active, limited, suspended, disabled, and archived states as candidate states without treating the example list as closed.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
"MAY_SOURCE_OPTION","MAY-013","REQ-026.02","Part 3","L1263–L1279","Examples: / Super Admin / Operations Admin / Finance Admin / Support Admin / Content Admin / Marketing Admin / Developer / Read Only Auditor","The administrator-role model can represent the example operational, finance, support, content, marketing, developer, and auditor role families without treating that list as closed.","Pure MAY, possible, suggested, or optional example; excluded from formal REQ total.","No"
