"parent_requirement_id","counted_in_formal_req_total","exact_constitution_part","exact_constitution_section","section_source_span","atomic_child_count","owner_approval_state","implementation_status"
"REQ-001","No — structural container only","Part 1","AI Master Instruction and Primary Objective","L3–L123","11","Pending independent review","Not started"
"REQ-002","No — structural container only","Part 1","Controlled Blueprint Workflow","L127–L301","67","Pending independent review","Not started"
"REQ-003","No — structural container only","Part 1","Brand and Launch Markets","L305–L369","21","Pending independent review","Not started"
"REQ-004","No — structural container only","Part 1","Platform Language","L373–L397","11","Pending independent review","Not started"
"REQ-005","No — structural container only","Part 1","Currency System","L401–L427","10","Pending independent review","Not started"
"REQ-006","No — structural container only","Part 1","User Registration","L431–L453","8","Pending independent review","Not started"
"REQ-007","No — structural container only","Part 1","User Account Status and Limit Templates","L457–L471","15","Pending independent review","Not started"
"REQ-008","No — structural container only","Part 2","Product Philosophy and Design Principles","L481–L527","18","Pending independent review","Not started"
"REQ-009","No — structural container only","Part 2","Homepage","L531–L563","15","Pending independent review","Not started"
"REQ-010","No — structural container only","Part 2","User Dashboard","L567–L607","18","Pending independent review","Not started"
"REQ-011","No — structural container only","Part 2","Wallet System","L611–L661","23","Pending independent review","Not started"
"REQ-012","No — structural container only","Part 2","Balance Maturity System","L665–L713","11","Pending independent review","Not started"
"REQ-013","No — structural container only","Part 2","Leaderboard System","L717–L747","13","Pending independent review","Not started"
"REQ-014","No — structural container only","Part 2","Survey Experience","L751–L781","12","Pending independent review","Not started"
"REQ-015","No — structural container only","Part 2","Reward Point System","L785–L807","7","Pending independent review","Not started"
"REQ-016","No — structural container only","Part 2","Withdrawal System","L811–L839","12","Pending independent review","Not started"
"REQ-017","No — structural container only","Part 2","Notification Center","L843–L875","14","Pending independent review","Not started"
"REQ-018","No — structural container only","Part 2","Support Center","L879–L903","11","Pending independent review","Not started"
"REQ-019","No — structural container only","Part 2","Blog and CMS","L907–L957","12","Pending independent review","Not started"
"REQ-020","No — structural container only","Part 2","SEO Requirements","L961–L991","14","Pending independent review","Not started"
"REQ-021","No — structural container only","Part 2","Performance Targets","L995–L1013","8","Pending independent review","Not started"
"REQ-022","No — structural container only","Part 3","Super Admin ERP and Admin Dashboard","L1059–L1129","31","Pending independent review","Not started"
"REQ-023","No — structural container only","Part 3","User Management","L1133–L1177","21","Pending independent review","Not started"
"REQ-024","No — structural container only","Part 3","Account Moderation and State Extensibility","L1181–L1197","3","Pending independent review","Not started"
"REQ-025","No — structural container only","Part 3","Limit Template System","L1201–L1255","17","Pending independent review","Not started"
"REQ-026","No — structural container only","Part 3","Administrator Role Management","L1259–L1281","4","Pending independent review","Not started"
"REQ-027","No — structural container only","Part 3","System Settings","L1285–L1315","14","Pending independent review","Not started"
"REQ-028","No — structural container only","Part 3","Content Management System","L1319–L1347","14","Pending independent review","Not started"
"REQ-029","No — structural container only","Part 3","Provider Integration Framework","L1351–L1363","9","Pending independent review","Not started"
"REQ-030","No — structural container only","Part 3","API Management","L1367–L1383","7","Pending independent review","Not started"
"REQ-031","No — structural container only","Part 3","Transactional Email System","L1387–L1403","7","Pending independent review","Not started"
"REQ-032","No — structural container only","Part 3","Audit Logging","L1407–L1443","10","Pending independent review","Not started"
"REQ-033","No — structural container only","Part 3","Security Architecture","L1447–L1485","18","Pending independent review","Not started"
"REQ-034","No — structural container only","Part 3","Database Architecture Direction","L1489–L1511","11","Pending independent review","Not started"
"REQ-035","No — structural container only","Part 3","Backend and Frontend Architecture Evaluation","L1515–L1557","11","Pending independent review","Not started"
"REQ-036","No — structural container only","Part 3","Project Documentation and Interactive Roadmap","L1561–L1613","22","Pending independent review","Not started"
"REQ-037","No — structural container only","Part 3","Quality Standard","L1617–L1623","3","Pending independent review","Not started"
"REQ-038","No — structural container only","Part 4","Core Engineering Philosophy","L1645–L1697","13","Pending independent review","Not started"
"REQ-039","No — structural container only","Part 4","Project Structure and Module Boundaries","L1701–L1741","4","Pending independent review","Not started"
"REQ-040","No — structural container only","Part 4","Definition of Done and User Feedback","L1745–L1783","11","Pending independent review","Not started"
"REQ-041","No — structural container only","Part 4","Performance and Accessibility","L1787–L1823","13","Pending independent review","Not started"
"REQ-042","No — structural container only","Part 4","Configuration Philosophy","L1827–L1851","11","Pending independent review","Not started"
"REQ-043","No — structural container only","Part 4","Operational Analytics","L1855–L1883","13","Pending independent review","Not started"
"REQ-044","No — structural container only","Part 4","Error Handling and Background Processing","L1887–L1923","9","Pending independent review","Not started"
"REQ-045","No — structural container only","Part 4","Release, Backup, and Continuous Improvement","L1927–L1991","11","Pending independent review","Not started"
"REQ-046","No — structural container only","Part 4","Final Engineering Directive","L1995–L2001","2","Pending independent review","Not started"
"REQ-047","No — structural container only","Part 5","Database Philosophy and Objectives","L2037–L2075","19","Pending independent review","Not started"
"REQ-048","No — structural container only","Part 5","Database Design Principles and Specification","L2079–L2119","17","Pending independent review","Not started"
"REQ-049","No — structural container only","Part 5","Identity, Authentication, and Profile Data Domains","L2123–L2163","9","Pending independent review","Not started"
"REQ-050","No — structural container only","Part 5","Wallet Data Domain","L2167–L2187","9","Pending independent review","Not started"
"REQ-051","No — structural container only","Part 5","Survey Data Domain","L2191–L2209","8","Pending independent review","Not started"
"REQ-052","No — structural container only","Part 5","Withdrawal Data Domain","L2213–L2235","10","Pending independent review","Not started"
"REQ-053","No — structural container only","Part 5","Notification and Support Data Domains","L2239–L2275","14","Pending independent review","Not started"
"REQ-054","No — structural container only","Part 5","CMS, Leaderboard, Audit, and Analytics Data Domains","L2279–L2333","16","Pending independent review","Not started"
"REQ-055","No — structural container only","Part 5","Retention, Migrations, and Seed Data","L2337–L2387","14","Pending independent review","Not started"
"REQ-056","No — structural container only","Part 5","Indexing, Scalability, and Data Security","L2391–L2447","13","Pending independent review","Not started"
"REQ-057","No — structural container only","Part 5","Reporting and Final Database Deliverables","L2451–L2495","18","Pending independent review","Not started"
"REQ-058","No — structural container only","Part 6","API Philosophy, Objectives, and Standards","L2511–L2593","30","Pending independent review","Not started"
"REQ-059","No — structural container only","Part 6","Authentication and User APIs","L2597–L2635","16","Pending independent review","Not started"
"REQ-060","No — structural container only","Part 6","Wallet and Survey APIs","L2639–L2677","15","Pending independent review","Not started"
"REQ-061","No — structural container only","Part 6","Withdrawal, Leaderboard, and Notification APIs","L2681–L2729","18","Pending independent review","Not started"
"REQ-062","No — structural container only","Part 6","Support, CMS, and Admin APIs","L2733–L2791","22","Pending independent review","Not started"
"REQ-063","No — structural container only","Part 6","Provider Integration and Webhooks","L2795–L2825","13","Pending independent review","Not started"
"REQ-064","No — structural container only","Part 6","API Background Processing and Error Handling","L2829–L2863","10","Pending independent review","Not started"
"REQ-065","No — structural container only","Part 6","API Security, Documentation, Testing, and Observability","L2867–L2953","33","Pending independent review","Not started"
"REQ-066","No — structural container only","Part 6","Final API Deliverables","L2957–L2981","11","Pending independent review","Not started"
"REQ-067","No — structural container only","Part 7","Design Philosophy and Language","L2997–L3081","7","Pending independent review","Not started"
"REQ-068","No — structural container only","Part 7","Brand, Color, Typography, Grid, and Icons","L3085–L3199","12","Pending independent review","Not started"
